Device_Major_Number,Device_Minor_Number,CPU_Core_ID,Record_ID,Timestamp_nanoseconds,ProcessID,Trace_Action,OperationType,SectorNumber,IO_Size,ProcessName
259,2,9,5,0.342412695,4113,D,RS,891942848,256,[java]
259,2,4,22,0.343370804,4110,D,RS,991034800,256,[java]
259,2,3,17,0.343753558,4124,D,RS,787611056,256,[java]
259,2,5,11,0.343973726,4121,D,RS,208102920,256,[java]
259,2,10,22,0.344046956,4116,D,RS,478543280,256,[java]
259,2,12,23,0.344135695,4117,D,RS,213829088,256,[java]
259,2,2,17,0.344545099,4109,D,RS,892730800,256,[java]
259,2,9,11,0.344651173,4113,D,RS,442105264,256,[java]
259,2,11,29,0.344897566,4111,D,RS,537067184,256,[java]
259,2,15,17,0.345121713,4119,D,RS,162659760,256,[java]
259,2,13,11,0.345339109,4123,D,RS,650771888,256,[java]
259,2,1,17,0.345372189,4122,D,RS,906165936,256,[java]
259,2,4,28,0.345595874,4110,D,RS,82036176,256,[java]
259,2,27,11,0.345937861,4115,D,RS,943696832,256,[java]
259,2,3,23,0.345956211,4124,D,RS,939720368,256,[java]
259,2,10,28,0.346270253,4116,D,RS,13499824,256,[java]
259,2,12,29,0.346330107,4117,D,RS,278948936,256,[java]
259,2,6,28,0.346378443,4118,D,RS,524942768,256,[java]
259,2,2,23,0.346731385,4109,D,RS,242089392,256,[java]
259,2,9,17,0.346836017,4113,D,RS,27131312,256,[java]
259,2,7,17,0.346913559,4120,D,RS,313392560,256,[java]
259,2,11,35,0.347085698,4111,D,RS,531231592,256,[java]
259,2,8,23,0.347224001,4114,D,RS,100380704,256,[java]
259,2,0,191,0.347266115,4112,D,RS,433978800,256,[java]
259,2,3,29,0.348152615,4124,D,RS,1973688,256,[java]
259,2,12,35,0.348390769,4117,D,RS,202767784,256,[java]
259,2,10,34,0.348540107,4116,D,RS,298188208,256,[java]
259,2,15,23,0.348545854,4119,D,RS,879099312,256,[java]
259,2,6,34,0.348560545,4118,D,RS,697695664,256,[java]
259,2,13,20,0.348729789,4123,D,RS,480747792,24,[java]
259,2,13,21,0.348731732,4123,D,RS,480747824,224,[java]
259,2,2,32,0.348924790,4109,D,RS,741517368,40,[java]
259,2,2,33,0.348926044,4109,D,RS,741517416,208,[java]
259,2,9,23,0.349026029,4113,D,RS,227238008,256,[java]
259,2,7,26,0.349101947,4120,D,RS,592707416,168,[java]
259,2,7,27,0.349103153,4120,D,RS,593377776,88,[java]
259,2,11,41,0.349218786,4111,D,RS,196476336,256,[java]
259,2,27,17,0.349312484,4115,D,RS,674889136,256,[java]
259,2,8,29,0.349393076,4114,D,RS,105774512,256,[java]
259,2,0,197,0.349458893,4112,D,RS,899121664,256,[java]
259,2,3,38,0.350367656,4124,D,RS,401893136,232,[java]
259,2,3,39,0.350368189,4124,D,RS,401893376,16,[java]
259,2,12,41,0.350565758,4117,D,RS,927411384,256,[java]
259,2,5,17,0.350687513,4121,D,RS,659937240,256,[java]
259,2,3,49,0.350846396,4124,D,RS,569114472,152,[java]
259,2,3,50,0.350847554,4124,D,RS,569442304,104,[java]
259,2,7,34,0.351319143,4120,D,RS,717988200,256,[java]
259,2,11,47,0.351511301,4111,D,RS,206175664,256,[java]
259,2,8,35,0.351573189,4114,D,RS,993918160,256,[java]
259,2,0,203,0.351661878,4112,D,RS,614845368,256,[java]
259,2,13,28,0.351884457,4123,D,RS,569285632,256,[java]
259,2,4,34,0.351937399,4110,D,RS,718209536,256,[java]
259,2,2,43,0.352367210,4109,D,RS,158859112,152,[java]
259,2,2,44,0.352368250,4109,D,RS,159252920,104,[java]
259,2,5,23,0.352737866,4121,D,RS,716850664,256,[java]
259,2,12,47,0.352789702,4117,D,RS,253885872,256,[java]
259,2,27,23,0.352818552,4115,D,RS,479329712,256,[java]
259,2,6,40,0.352938254,4118,D,RS,815398264,256,[java]
259,2,0,209,0.353862818,4112,D,RS,246406216,256,[java]
259,2,2,51,0.354571079,4109,D,RS,638975408,256,[java]
259,2,9,29,0.354656061,4113,D,RS,480640432,256,[java]
259,2,15,29,0.355345928,4119,D,RS,855244208,256,[java]
259,2,13,34,0.355435715,4123,D,RS,552730040,256,[java]
259,2,5,29,0.355559031,4121,D,RS,397802928,256,[java]
259,2,11,53,0.355875205,4111,D,RS,157416880,256,[java]
259,2,8,41,0.355932298,4114,D,RS,245759408,256,[java]
259,2,3,57,0.356160370,4124,D,RS,535166384,256,[java]
259,2,27,29,0.356186018,4115,D,RS,524680624,256,[java]
259,2,2,57,0.356787877,4109,D,RS,91183288,256,[java]
259,2,9,35,0.356880567,4113,D,RS,925302152,256,[java]
259,2,7,40,0.356971605,4120,D,RS,159101000,256,[java]
259,2,12,53,0.357157272,4117,D,RS,89253288,256,[java]
259,2,10,40,0.357249143,4116,D,RS,921042344,256,[java]
259,2,5,35,0.357776314,4121,D,RS,318968,256,[java]
259,2,11,59,0.358058785,4111,D,RS,471858800,256,[java]
259,2,13,40,0.358855012,4123,D,RS,156939176,256,[java]
259,2,9,41,0.358940846,4113,D,RS,651658728,256,[java]
259,2,6,49,0.359516245,4118,D,RS,291241824,160,[java]
259,2,6,50,0.359517189,4118,D,RS,291373496,96,[java]
259,2,27,35,0.359573634,4115,D,RS,517996280,256,[java]
259,2,11,65,0.360265041,4111,D,RS,410123696,256,[java]
259,2,5,41,0.360445360,4121,D,RS,919993776,256,[java]
259,2,2,63,0.360693342,4109,D,RS,370611080,256,[java]
259,2,8,47,0.361079909,4114,D,RS,829291952,256,[java]
259,2,9,47,0.361122033,4113,D,RS,170130648,256,[java]
259,2,7,49,0.361356132,4120,D,RS,264765288,152,[java]
259,2,7,50,0.361357100,4120,D,RS,264896952,104,[java]
259,2,10,46,0.361602377,4116,D,RS,175242672,256,[java]
259,2,2,69,0.362333910,4109,D,RS,103939496,256,[java]
259,2,0,215,0.362603221,4112,D,RS,974257584,256,[java]
259,2,4,40,0.362845188,4110,D,RS,927279872,256,[java]
259,2,8,53,0.363272653,4114,D,RS,642645424,256,[java]
259,2,9,56,0.363304698,4113,D,RS,511312760,32,[java]
259,2,9,57,0.363305859,4113,D,RS,526909216,224,[java]
259,2,7,60,0.363539291,4120,D,RS,969932632,168,[java]
259,2,7,61,0.363540098,4120,D,RS,970064312,88,[java]
259,2,6,57,0.363617761,4118,D,RS,722337200,256,[java]
259,2,12,62,0.363656968,4117,D,RS,301989736,152,[java]
259,2,12,63,0.363658056,4117,D,RS,302187200,104,[java]
259,2,0,224,0.364822925,4112,D,RS,941096784,176,[java]
259,2,0,225,0.364823732,4112,D,RS,941228472,80,[java]
259,2,8,62,0.365483623,4114,D,RS,37486440,152,[java]
259,2,8,63,0.365484574,4114,D,RS,37618104,104,[java]
259,2,1,26,0.365603655,4122,D,RS,171966304,160,[java]
259,2,1,27,0.365605132,4122,D,RS,172163768,96,[java]
259,2,12,73,0.365854168,4117,D,RS,630718312,152,[java]
259,2,12,74,0.365854998,4117,D,RS,630816768,104,[java]
259,2,4,46,0.366350475,4110,D,RS,470154672,256,[java]
259,2,3,63,0.366581198,4124,D,RS,831651248,256,[java]
259,2,2,75,0.366695482,4109,D,RS,998407728,256,[java]
259,2,5,47,0.367040908,4121,D,RS,682229160,256,[java]
259,2,9,64,0.367729580,4113,D,RS,69897256,256,[java]
259,2,8,70,0.367733286,4114,D,RS,504869968,256,[java]
259,2,6,63,0.367944211,4118,D,RS,714997168,256,[java]
259,2,12,81,0.368112704,4117,D,RS,949470656,256,[java]
259,2,15,35,0.368148111,4119,D,RS,489553328,256,[java]
259,2,4,52,0.368553545,4110,D,RS,787348912,256,[java]
259,2,11,71,0.369011885,4111,D,RS,509476272,256,[java]
259,2,1,34,0.369037871,4122,D,RS,431881648,256,[java]
259,2,5,56,0.369247864,4121,D,RS,384302952,152,[java]
259,2,5,57,0.369248828,4121,D,RS,384434616,104,[java]
259,2,27,41,0.369642669,4115,D,RS,62382816,256,[java]
259,2,9,70,0.369973132,4113,D,RS,74970272,256,[java]
259,2,6,69,0.370266258,4118,D,RS,697171376,256,[java]
259,2,10,52,0.370340360,4116,D,RS,327810480,256,[java]
259,2,4,58,0.370736975,4110,D,RS,442629552,256,[java]
259,2,3,69,0.370933450,4124,D,RS,650607712,256,[java]
259,2,2,84,0.371182423,4109,D,RS,891027296,160,[java]
259,2,2,85,0.371183448,4109,D,RS,891158976,96,[java]
259,2,0,232,0.371413920,4112,D,RS,142802608,256,[java]
259,2,5,64,0.371447018,4121,D,RS,532413928,256,[java]
259,2,15,41,0.371518022,4119,D,RS,579010224,256,[java]
259,2,9,76,0.372189068,4113,D,RS,54132144,256,[java]
259,2,7,68,0.372228569,4120,D,RS,458620328,256,[java]
259,2,13,46,0.372348547,4123,D,RS,462814640,256,[java]
259,2,12,87,0.372481353,4117,D,RS,110886616,256,[java]
259,2,10,58,0.372533192,4116,D,RS,48728656,256,[java]
259,2,27,47,0.372823566,4115,D,RS,507707048,256,[java]
259,2,4,67,0.372928683,4110,D,RS,446693200,176,[java]
259,2,4,68,0.372929544,4110,D,RS,447087032,80,[java]
259,2,11,77,0.373233642,4111,D,RS,885390760,256,[java]
259,2,2,95,0.373375154,4109,D,RS,424148840,152,[java]
259,2,2,96,0.373375986,4109,D,RS,424293632,104,[java]
259,2,0,238,0.373617089,4112,D,RS,144309680,256,[java]
259,2,5,73,0.373625315,4121,D,RS,598736744,152,[java]
259,2,5,74,0.373626149,4121,D,RS,598908264,104,[java]
259,2,8,76,0.374327870,4114,D,RS,361889200,256,[java]
259,2,9,85,0.374402868,4113,D,RS,605552424,216,[java]
259,2,9,86,0.374403613,4113,D,RS,605947104,40,[java]
259,2,6,75,0.374631625,4118,D,RS,861091384,256,[java]
259,2,10,64,0.374749984,4116,D,RS,514457008,256,[java]
259,2,3,78,0.374793799,4124,D,RS,331120568,24,[java]
259,2,3,79,0.374795045,4124,D,RS,331120600,224,[java]
259,2,4,75,0.375135918,4110,D,RS,232914352,256,[java]
259,2,3,86,0.375375413,4124,D,RS,717126360,256,[java]
259,2,11,83,0.375456118,4111,D,RS,473038256,256,[java]
259,2,2,106,0.375587647,4109,D,RS,527433568,160,[java]
259,2,2,107,0.375588487,4109,D,RS,527868816,96,[java]
259,2,13,55,0.375743282,4123,D,RS,468559224,192,[java]
259,2,13,56,0.375744376,4123,D,RS,468559424,56,[java]
259,2,1,40,0.375788209,4122,D,RS,825241032,256,[java]
259,2,0,244,0.375879614,4112,D,RS,312868272,256,[java]
259,2,27,53,0.376154287,4115,D,RS,289786928,256,[java]
259,2,8,82,0.376552680,4114,D,RS,675479216,256,[java]
259,2,12,93,0.376925207,4117,D,RS,782630320,256,[java]
259,2,4,81,0.377333211,4110,D,RS,667118560,256,[java]
259,2,11,92,0.377653709,4111,D,RS,864550728,184,[java]
259,2,11,93,0.377654533,4111,D,RS,864682432,72,[java]
259,2,7,74,0.377877027,4120,D,RS,859831952,256,[java]
259,2,5,81,0.378025178,4121,D,RS,44670560,256,[java]
259,2,15,47,0.378251097,4119,D,RS,609090992,256,[java]
259,2,13,63,0.378860543,4123,D,RS,757445992,256,[java]
259,2,2,114,0.379008017,4109,D,RS,982908336,256,[java]
259,2,4,87,0.379526668,4110,D,RS,469630384,256,[java]
259,2,27,59,0.379682276,4115,D,RS,510511944,256,[java]
259,2,8,91,0.380965031,4114,D,RS,284416208,176,[java]
259,2,8,92,0.380965984,4114,D,RS,284416392,72,[java]
259,2,2,120,0.381229700,4109,D,RS,410362824,256,[java]
259,2,3,92,0.381983943,4124,D,RS,315028568,256,[java]
259,2,11,100,0.382028478,4111,D,RS,682098384,256,[java]
259,2,0,253,0.382503161,4112,D,RS,244055896,168,[java]
259,2,0,254,0.382504135,4112,D,RS,244187584,88,[java]
259,2,1,46,0.382629732,4122,D,RS,226688688,256,[java]
259,2,8,99,0.406999091,4114,D,RS,90330672,256,[java]
259,2,27,65,0.407068284,4115,D,RS,480116136,256,[java]
259,2,13,69,0.407581997,4123,D,RS,858652080,256,[java]
259,2,5,87,0.407592051,4121,D,RS,734657968,256,[java]
259,2,10,70,0.407607351,4116,D,RS,4062640,256,[java]
259,2,2,126,0.407607623,4109,D,RS,617479600,256,[java]
259,2,9,93,0.407613575,4113,D,RS,74838760,256,[java]
259,2,7,80,0.407615355,4120,D,RS,788921776,256,[java]
259,2,8,105,0.409225841,4114,D,RS,512884144,256,[java]
259,2,0,261,0.410060159,4112,D,RS,469106096,256,[java]
259,2,6,81,0.410195834,4118,D,RS,690093488,256,[java]
259,2,12,99,0.410218068,4117,D,RS,355859888,256,[java]
259,2,2,132,0.410245949,4109,D,RS,527578592,256,[java]
259,2,4,96,0.410252572,4110,D,RS,450363192,200,[java]
259,2,4,97,0.410253666,4110,D,RS,450494912,56,[java]
259,2,10,76,0.410253758,4116,D,RS,16383408,256,[java]
259,2,11,106,0.410257083,4111,D,RS,407043760,256,[java]
259,2,5,93,0.410356110,4121,D,RS,942206544,256,[java]
259,2,15,53,0.411022660,4119,D,RS,765853104,256,[java]
259,2,13,75,0.411094404,4123,D,RS,787873200,256,[java]
259,2,8,111,0.411413277,4114,D,RS,100249192,256,[java]
259,2,5,99,0.411452996,4121,D,RS,822279848,256,[java]
259,2,3,98,0.412287858,4124,D,RS,467355920,256,[java]
259,2,6,87,0.412402971,4118,D,RS,39976368,256,[java]
259,2,3,107,0.412609808,4124,D,RS,590872408,168,[java]
259,2,3,108,0.412610583,4124,D,RS,591004096,88,[java]
259,2,7,86,0.412689426,4120,D,RS,743692584,256,[java]
259,2,2,138,0.412702695,4109,D,RS,625147568,256,[java]
259,2,5,105,0.414173706,4121,D,RS,55705008,256,[java]
259,2,1,55,0.414375461,4122,D,RS,883425120,160,[java]
259,2,1,56,0.414377020,4122,D,RS,883570176,96,[java]
259,2,0,267,0.414462488,4112,D,RS,316014000,256,[java]
259,2,13,81,0.414492376,4123,D,RS,93782560,256,[java]
259,2,10,82,0.414621473,4116,D,RS,856608456,256,[java]
259,2,3,115,0.414819376,4124,D,RS,980454576,256,[java]
259,2,12,105,0.414908991,4117,D,RS,672529840,256,[java]
259,2,4,104,0.415056696,4110,D,RS,669121968,256,[java]
259,2,2,144,0.415069314,4109,D,RS,641334704,256,[java]
259,2,3,121,0.415439079,4124,D,RS,684818880,256,[java]
259,2,5,111,0.416410346,4121,D,RS,106324240,256,[java]
259,2,0,273,0.416698509,4112,D,RS,788725424,256,[java]
259,2,6,93,0.416760999,4118,D,RS,232652208,256,[java]
259,2,9,99,0.416993792,4113,D,RS,517092568,256,[java]
259,2,27,71,0.417072035,4115,D,RS,41811376,256,[java]
259,2,12,111,0.417136877,4117,D,RS,475659696,256,[java]
259,2,3,127,0.417171908,4124,D,RS,896662960,256,[java]
259,2,11,112,0.417195755,4111,D,RS,249560728,256,[java]
259,2,7,92,0.417289392,4120,D,RS,435945216,256,[java]
259,2,15,59,0.417759001,4119,D,RS,519306808,256,[java]
259,2,0,279,0.418907938,4112,D,RS,924159000,256,[java]
259,2,8,117,0.419029469,4114,D,RS,840555984,256,[java]
259,2,8,123,0.419269785,4114,D,RS,832175232,256,[java]
259,2,12,117,0.419342304,4117,D,RS,490929840,256,[java]
259,2,11,118,0.419401661,4111,D,RS,206550888,256,[java]
259,2,7,98,0.419494267,4120,D,RS,37617072,256,[java]
259,2,10,88,0.419542979,4116,D,RS,12212736,256,[java]
259,2,0,285,0.420639507,4112,D,RS,953810344,256,[java]
259,2,4,110,0.442253837,4110,D,RS,695926448,256,[java]
259,2,5,117,0.443151307,4121,D,RS,260439480,256,[java]
259,2,4,116,0.446702207,4110,D,RS,217447856,256,[java]
259,2,11,124,0.448544811,4111,D,RS,713227960,256,[java]
259,2,4,125,0.449046490,4110,D,RS,454819680,160,[java]
259,2,4,126,0.449047453,4110,D,RS,454951360,96,[java]
259,2,0,291,0.449650254,4112,D,RS,129995480,256,[java]
259,2,5,123,0.449774955,4121,D,RS,141019664,256,[java]
259,2,9,105,0.450363222,4113,D,RS,792067504,256,[java]
259,2,8,129,0.450740010,4114,D,RS,448134584,256,[java]
259,2,11,130,0.450795050,4111,D,RS,859438520,256,[java]
259,2,10,94,0.450859193,4116,D,RS,952329072,256,[java]
259,2,27,80,0.451215491,4115,D,RS,434297608,112,[java]
259,2,27,81,0.451217115,4115,D,RS,438828912,144,[java]
259,2,2,150,0.451298062,4109,D,RS,150601144,256,[java]
259,2,3,133,0.451315596,4124,D,RS,432930224,256,[java]
259,2,4,133,0.451318969,4110,D,RS,884604344,256,[java]
259,2,0,297,0.451898716,4112,D,RS,29716720,256,[java]
259,2,5,129,0.452035755,4121,D,RS,867564984,256,[java]
259,2,13,87,0.452416456,4123,D,RS,482294760,256,[java]
259,2,15,65,0.452458786,4119,D,RS,582876440,256,[java]
259,2,6,102,0.452462388,4118,D,RS,566736120,112,[java]
259,2,6,103,0.452463563,4118,D,RS,567279472,144,[java]
259,2,1,63,0.452484643,4122,D,RS,939916424,256,[java]
259,2,9,114,0.452618975,4113,D,RS,886159536,96,[java]
259,2,9,115,0.452620101,4113,D,RS,898891616,160,[java]
259,2,12,123,0.452648447,4117,D,RS,104201296,256,[java]
259,2,8,135,0.453003177,4114,D,RS,954072392,256,[java]
259,2,11,136,0.453053650,4111,D,RS,905300840,256,[java]
259,2,10,100,0.453110538,4116,D,RS,606600800,256,[java]
259,2,2,156,0.453575983,4109,D,RS,191757752,256,[java]
259,2,0,303,0.453625581,4112,D,RS,24511384,256,[java]
259,2,4,139,0.453645048,4110,D,RS,344719024,256,[java]
259,2,3,139,0.453647944,4124,D,RS,186292168,256,[java]
259,2,5,135,0.454245735,4121,D,RS,14286264,256,[java]
259,2,7,107,0.454279533,4120,D,RS,786272,160,[java]
259,2,7,108,0.454280717,4120,D,RS,926144,96,[java]
259,2,27,88,0.454628174,4115,D,RS,620362992,256,[java]
259,2,6,110,0.454678682,4118,D,RS,129891768,256,[java]
259,2,9,122,0.454829235,4113,D,RS,898497976,256,[java]
259,2,12,129,0.454863593,4117,D,RS,555089256,256,[java]
259,2,8,141,0.455229419,4114,D,RS,122667312,256,[java]
259,2,11,142,0.455274872,4111,D,RS,165805240,256,[java]
259,2,10,106,0.455344290,4116,D,RS,852098488,256,[java]
259,2,2,162,0.455812648,4109,D,RS,346781104,256,[java]
259,2,4,145,0.455954681,4110,D,RS,962723256,256,[java]
259,2,13,93,0.455968347,4123,D,RS,994442680,256,[java]
259,2,15,71,0.456050522,4119,D,RS,139853080,256,[java]
259,2,0,309,0.456068605,4112,D,RS,559807760,256,[java]
259,2,3,145,0.456070634,4124,D,RS,521534896,256,[java]
259,2,1,69,0.456081314,4122,D,RS,600702392,256,[java]
259,2,5,141,0.456492911,4121,D,RS,480446520,256,[java]
259,2,7,118,0.456543228,4120,D,RS,404225896,152,[java]
259,2,7,119,0.456544135,4120,D,RS,404620592,104,[java]
259,2,6,116,0.456953109,4118,D,RS,420478496,256,[java]
259,2,9,128,0.457126735,4113,D,RS,254671440,256,[java]
259,2,12,135,0.457131175,4117,D,RS,994704824,256,[java]
259,2,8,147,0.457475689,4114,D,RS,831913400,256,[java]
259,2,11,148,0.457500583,4111,D,RS,343801272,256,[java]
259,2,10,112,0.457599516,4116,D,RS,625605864,256,[java]
259,2,27,94,0.458042235,4115,D,RS,886354984,256,[java]
259,2,2,168,0.458043564,4109,D,RS,892468664,256,[java]
259,2,4,151,0.458175033,4110,D,RS,34078256,256,[java]
259,2,0,315,0.458326872,4112,D,RS,599115800,256,[java]
259,2,3,151,0.458332528,4124,D,RS,294256056,256,[java]
259,2,5,147,0.458697552,4121,D,RS,987378544,256,[java]
259,2,7,126,0.458750519,4120,D,RS,258603968,256,[java]
259,2,6,122,0.459186708,4118,D,RS,222690744,256,[java]
259,2,9,134,0.459398905,4113,D,RS,257932864,256,[java]
259,2,12,141,0.459405246,4117,D,RS,815136184,256,[java]
259,2,13,99,0.459443494,4123,D,RS,915537256,256,[java]
259,2,15,77,0.459497514,4119,D,RS,378928568,256,[java]
259,2,1,75,0.459559749,4122,D,RS,448658872,256,[java]
259,2,8,153,0.459741606,4114,D,RS,611450296,256,[java]
259,2,11,154,0.459746917,4111,D,RS,985267640,256,[java]
259,2,10,118,0.459839578,4116,D,RS,407240120,256,[java]
259,2,2,174,0.460281565,4109,D,RS,230030704,256,[java]
259,2,4,157,0.460399847,4110,D,RS,905051576,256,[java]
259,2,3,157,0.460602854,4124,D,RS,773455104,256,[java]
259,2,0,321,0.460615040,4112,D,RS,10091960,256,[java]
259,2,5,153,0.460988005,4121,D,RS,47578552,256,[java]
259,2,7,132,0.460991651,4120,D,RS,987889080,256,[java]
259,2,6,128,0.461444866,4118,D,RS,445251000,256,[java]
259,2,27,100,0.461469211,4115,D,RS,59374552,256,[java]
259,2,9,140,0.461624443,4113,D,RS,851639992,256,[java]
259,2,12,147,0.461648655,4117,D,RS,734920120,256,[java]
259,2,8,162,0.461990551,4114,D,RS,7077728,160,[java]
259,2,8,163,0.461991500,4114,D,RS,7086088,96,[java]
259,2,10,124,0.462073845,4116,D,RS,48988992,256,[java]
259,2,11,160,0.462089550,4111,D,RS,280362424,256,[java]
259,2,2,180,0.462507839,4109,D,RS,205388544,256,[java]
259,2,4,163,0.462649077,4110,D,RS,609877432,256,[java]
259,2,13,105,0.462896273,4123,D,RS,44170560,256,[java]
259,2,3,163,0.462903383,4124,D,RS,107085232,256,[java]
259,2,0,327,0.462908742,4112,D,RS,645151024,256,[java]
259,2,15,83,0.462966309,4119,D,RS,748551600,256,[java]
259,2,1,81,0.463044933,4122,D,RS,316794856,256,[java]
259,2,0,333,0.463220993,4112,D,RS,129630672,256,[java]
259,2,5,159,0.463268043,4121,D,RS,414344248,256,[java]
259,2,7,141,0.463298739,4120,D,RS,455606080,192,[java]
259,2,7,142,0.463299472,4120,D,RS,455737792,64,[java]
259,2,6,134,0.463684336,4118,D,RS,707171872,256,[java]
259,2,12,153,0.463903903,4117,D,RS,425590200,256,[java]
259,2,9,146,0.463911624,4113,D,RS,205898456,256,[java]
259,2,8,170,0.464271035,4114,D,RS,73792944,256,[java]
259,2,10,130,0.464304476,4116,D,RS,465960176,256,[java]
259,2,11,166,0.464358583,4111,D,RS,918962456,256,[java]
259,2,2,186,0.464739721,4109,D,RS,53607864,256,[java]
259,2,4,169,0.464921332,4110,D,RS,776732392,256,[java]
259,2,27,106,0.464941504,4115,D,RS,351403448,256,[java]
259,2,0,342,0.465451120,4112,D,RS,990641944,232,[java]
259,2,0,343,0.465452053,4112,D,RS,991035832,24,[java]
259,2,7,149,0.465538080,4120,D,RS,610683744,256,[java]
259,2,5,168,0.465878519,4121,D,RS,928251744,160,[java]
259,2,5,169,0.465879410,4121,D,RS,928383424,96,[java]
259,2,6,140,0.465925217,4118,D,RS,477663728,256,[java]
259,2,12,162,0.466189358,4117,D,RS,201850736,144,[java]
259,2,12,163,0.466190403,4117,D,RS,201982392,112,[java]
259,2,13,111,0.466324256,4123,D,RS,824573368,256,[java]
259,2,15,89,0.466399791,4119,D,RS,892063184,256,[java]
259,2,8,179,0.466509777,4114,D,RS,167772000,160,[java]
259,2,8,180,0.466510624,4114,D,RS,168189952,96,[java]
259,2,10,136,0.466564866,4116,D,RS,850001336,256,[java]
259,2,6,146,0.466576218,4118,D,RS,434502960,256,[java]
259,2,11,172,0.466612059,4111,D,RS,273808824,256,[java]
259,2,2,195,0.466985179,4109,D,RS,887095064,232,[java]
259,2,2,196,0.466985990,4109,D,RS,887226800,24,[java]
259,2,4,178,0.467194973,4110,D,RS,203685744,144,[java]
259,2,4,179,0.467196148,4110,D,RS,204382336,112,[java]
